City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lompoc,34.6391,-120.4579,80.69,30,0,12.66,US,1698708559
84,fort bragg,35.139,-79.006,78.64,59,0,6.91,US,1698708561
85,iqaluit,63.7506,-68.5145,10.13,72,75,18.41,CA,1698708432
86,isafjordur,66.0755,-23.124,35.49,73,79,5.1,IS,1698708466
87,tangalle,6.024,80.7911,76.17,89,72,2.53,LK,1698708564
88,tateyama,34.9833,139.8667,64.09,65,24,7.27,JP,1698708565
89,yazd,31.8972,54.3675,64.51,25,0,2.3,IR,1698708566
90,lampasas,31.2168,-98.2336,47.57,60,61,16.33,US,1698708568
91,saint-philippe,-21.3585,55.7679,72.99,86,55,4.43,RE,1698708569
92,iskateley,67.6803,53.1512,20.01,95,96,10.0,RU,1698708570
93,tibanbang,6.6315,126.1055,79.92,78,99,1.59,PH,1698708572
94,west island,-12.1568,96.8225,78.78,83,100,16.11,CC,1698708573
95,avarua,-21.2078,-159.775,78.85,69,75,14.97,CK,1698708523
96,puerto armuelles,8.2833,-82.8667,81.09,75,100,10.0,PA,1698708575
97,andorra,42.5,1.5,42.76,87,91,3.18,AD,1698708576
98,puerto ayora,-0.7393,-90.3518,75.54,91,100,4.0,EC,1698708577
99,melfort,52.8667,-104.6177,21.33,53,61,5.75,CA,1698708579
100,cockburn town,21.4612,-71.1419,83.52,81,42,9.84,TC,1698708537
101,papao,-17.75,-149.55,82.08,79,0,18.99,PF,1698708581
102,hawaiian paradise park,19.5933,-154.9731,79.9,86,62,5.01,US,1698708534
103,chefchaouene,35.1688,-5.2636,53.17,90,76,3.27,MA,1698708583
104,jamestown,42.097,-79.2353,42.39,89,100,13.8,US,1698708437
105,basoko,1.2391,23.616,75.02,90,84,1.92,CD,1698708585
106,blackmans bay,-43.0167,147.3167,55.53,74,20,1.99,AU,1698708587
107,longyearbyen,78.2186,15.6401,33.64,64,75,11.5,SJ,1698708548
108,calama,-22.4667,-68.9333,64.89,25,0,24.16,CL,1698708589
109,orthez,43.4884,-0.7724,54.77,80,14,4.59,FR,1698708590
110,east brainerd,34.9959,-85.1502,53.37,82,100,12.66,US,1698708591
111,tosno,59.54,30.8775,31.71,97,86,1.36,RU,1698708592
112,st. john's,47.5649,-52.7093,36.28,86,100,1.01,CA,1698708452
113,den burg,53.0542,4.7972,51.01,94,75,3.44,NL,1698708595
114,merizo village,13.2658,144.6691,84.76,91,98,14.76,GU,1698708596
115,adrar,20.5022,-10.0711,81.41,12,0,6.55,MR,1698708597
116,cidreira,-30.1811,-50.2056,66.72,97,100,8.25,BR,1698708598
117,iquitos,-3.7481,-73.2472,82.44,78,75,2.3,PE,1698708599
118,georgetown,5.4112,100.3354,80.53,92,20,5.01,MY,1698708391
119,remire-montjoly,4.9167,-52.2667,82.44,83,0,3.44,GF,1698708385
120,invercargill,-46.4,168.35,60.03,75,87,4.0,NZ,1698708603
121,fort dodge,42.4975,-94.168,37.4,41,0,12.66,US,1698708551
122,guerrero negro,27.9769,-114.0611,73.63,56,0,11.48,MX,1698708607
123,anadyr,64.75,177.4833,34.3,93,75,6.71,RU,1698708445
124,opuwo,-18.0607,13.84,67.03,18,1,4.92,NA,1698708609
125,eenhana,-17.4667,16.3333,67.69,14,0,5.17,NA,1698708610
126,bodaybo,57.8506,114.1933,14.77,53,99,3.29,RU,1698708517
127,puerto baquerizo moreno,-0.9,-89.6,73.35,80,99,15.52,EC,1698708611
128,calvinia,-31.4707,19.776,57.54,48,0,17.29,ZA,1698708614
129,hengchun,22.0042,120.7439,77.43,71,19,7.63,TW,1698708615
130,champerico,14.3,-91.9167,77.54,86,98,5.55,GT,1698708616
131,shache,38.4167,77.2406,54.72,32,23,9.53,CN,1698708617
132,sinabang,2.4803,96.3801,77.32,86,99,3.76,ID,1698708570
133,londa,15.4691,74.5191,68.0,89,45,3.29,IN,1698708620
134,labrador city,52.9463,-66.9114,21.11,63,75,4.61,CA,1698708610
135,akbarabad,29.2464,52.7793,58.62,61,38,0.89,IR,1698708622
136,kodiak,57.79,-152.4072,45.91,93,100,13.8,US,1698708623
137,dembi dolo,8.5333,34.8,57.63,96,90,2.08,ET,1698708624
138,madang,-5.2246,145.7966,77.7,90,100,3.31,PG,1698708626
139,crane,31.3974,-102.3501,43.84,39,48,7.61,US,1698708502
140,gobabis,-22.45,18.9667,64.24,22,1,10.63,NA,1698708628
141,nikolayevsk-on-amure,53.1406,140.73,34.86,65,11,5.32,RU,1698708629
142,hasaki,35.7333,140.8333,64.29,53,0,5.37,JP,1698708630
143,laem sing,12.4816,102.0738,78.13,89,100,9.51,TH,1698708631
144,tiksi,71.6872,128.8694,-7.19,100,28,2.84,RU,1698708436
145,bay roberts,47.5999,-53.2648,36.14,89,100,1.01,CA,1698708634
146,margate,51.3813,1.3862,48.9,95,95,3.0,GB,1698708353
147,karratha,-20.7377,116.8463,83.48,37,61,6.02,AU,1698708528
148,badger,64.8,-147.5333,35.37,85,75,0.0,US,1698708637
149,palikir - national government center,6.9248,158.1611,88.65,70,75,8.05,FM,1698708509
150,punta arenas,-53.15,-70.9167,42.12,60,94,11.25,CL,1698708551
151,vila velha,-20.3297,-40.2925,78.75,82,0,11.5,BR,1698708641
152,baganga,7.5739,126.56,82.31,69,89,1.86,PH,1698708642
153,port alfred,-33.5906,26.891,55.18,94,25,1.01,ZA,1698708451
154,ola,59.5833,151.2833,23.4,69,5,5.28,RU,1698708530
155,acarau,-2.8856,-40.12,80.13,78,82,22.03,BR,1698708544
156,haiku-pauwela,20.9219,-156.3051,82.42,66,20,18.41,US,1698708646
157,el charco,2.4769,-78.1105,77.52,89,92,7.14,CO,1698708647
158,hilo,19.7297,-155.09,83.93,81,75,8.05,US,1698708570
159,dul'durga,50.6761,113.5931,14.85,97,88,3.24,RU,1698708649
160,olonkinbyen,70.9221,-8.7187,34.95,75,100,11.14,SJ,1698708651
161,vilyuysk,63.7553,121.6247,-2.88,100,86,2.53,RU,1698708487
162,rongelap,11.1635,166.8941,83.37,78,95,21.12,MH,1698708653
163,fortaleza,-3.7227,-38.5247,83.07,69,20,5.75,BR,1698708375
164,saint-joseph,-21.3667,55.6167,71.98,78,20,9.19,RE,1698708655
165,konarka,19.9,86.1167,72.0,80,4,7.47,IN,1698708656
166,gaogou,34.0175,119.1886,65.61,64,0,8.48,CN,1698708657
167,northam,51.0333,-4.2167,53.65,95,87,7.14,GB,1698708658
168,betio village,1.358,172.9211,82.44,73,99,1.32,KI,1698708660
169,port lincoln,-34.7333,135.8667,62.33,40,27,9.57,AU,1698708661
170,fada,9.5667,8.3,73.49,57,89,1.34,NG,1698708662
171,oranjestad,12.524,-70.027,84.15,85,20,5.75,AW,1698708663
172,sao paulo de olivenca,-3.3783,-68.8725,82.76,65,61,1.25,BR,1698708664
173,doka,13.5167,35.7667,75.16,79,96,7.45,SD,1698708665
174,icano,-28.9193,-65.3282,66.25,72,100,11.5,AR,1698708461
175,nar'yan-mar,67.6713,53.087,20.1,95,94,10.0,RU,1698708668
176,thompson,55.7435,-97.8558,21.36,73,100,6.91,CA,1698708669
177,severo-yeniseyskiy,60.3725,93.0408,-1.75,99,75,2.42,RU,1698708670
178,college,64.8569,-147.8028,35.46,84,75,0.0,US,1698708671
179,nova sintra,14.8667,-24.7167,73.58,71,70,4.0,CV,1698708672
